time,open,high,low,close
2020-12-10T08:00:00+08:00,246.0128,246.0128,246.0128,246.0128
2020-12-11T08:00:00+08:00,241.0819,241.0819,241.0819,241.0819
2020-12-14T08:00:00+08:00,251.213,251.213,251.213,251.213
2020-12-15T08:00:00+08:00,252.1643,252.1643,252.1643,252.1643
2020-12-16T08:00:00+08:00,253.328,253.328,253.328,253.328
2020-12-17T08:00:00+08:00,277.2854,277.2854,277.2854,277.2854
2020-12-21T08:00:00+08:00,297.5611,297.5611,297.5611,297.5611
2020-12-22T08:00:00+08:00,287.0423,287.0423,287.0423,287.0423
2020-12-23T08:00:00+08:00,296.4742,296.4742,296.4742,296.4742
2020-12-24T08:00:00+08:00,280.2652,280.2652,280.2652,280.2652
2020-12-28T08:00:00+08:00,318.0232,318.0232,318.0232,318.0232
2020-12-29T08:00:00+08:00,329.231,329.231,329.231,329.231
2020-12-30T08:00:00+08:00,331.0664,331.0664,331.0664,331.0664
2021-01-01T08:00:00+08:00,346.2059,346.2059,346.2059,346.2059
2021-01-04T08:00:00+08:00,397.3087,397.3087,397.3087,397.3087
2021-01-05T08:00:00+08:00,394.08,394.08,394.08,394.08
2021-01-06T08:00:00+08:00,417.1108,417.1108,417.1108,417.1108
2021-01-07T08:00:00+08:00,454.5207,454.5207,454.5207,454.5207
2021-01-08T08:00:00+08:00,479.0854,479.0854,479.0854,479.0854
2021-01-11T08:00:00+08:00,474.8019,474.8019,474.8019,474.8019
2021-01-12T08:00:00+08:00,432.9698,432.9698,432.9698,432.9698
2021-01-13T08:00:00+08:00,415.1854,415.1854,415.1854,415.1854
2021-01-14T08:00:00+08:00,454.9357,454.9357,454.9357,454.9357
2021-01-19T08:00:00+08:00,459.7379,459.7379,459.7379,459.7379
2021-01-20T08:00:00+08:00,460.6519,460.6519,460.6519,460.6519
2021-01-21T08:00:00+08:00,472.4519,472.4519,472.4519,472.4519
2021-01-25T08:00:00+08:00,440.0298,440.0298,440.0298,440.0298
2021-01-26T08:00:00+08:00,440.0298,440.0298,440.0298,440.0298
2021-01-27T08:00:00+08:00,437.2947,437.2947,437.2947,437.2947
2021-01-28T08:00:00+08:00,406.1358,406.1358,406.1358,406.1358
2021-01-29T08:00:00+08:00,423.4595,423.4595,423.4595,423.4595
2021-02-02T08:00:00+08:00,449.7358,449.7358,449.7358,449.7358
2021-02-03T08:00:00+08:00,479.8277,479.8277,479.8277,479.8277
2021-02-04T08:00:00+08:00,508.2205,508.2205,508.2205,508.2205
2021-02-05T08:00:00+08:00,500.5208,500.5208,500.5208,500.5208
2021-02-08T08:00:00+08:00,528.53,528.53,528.53,528.53
2021-02-09T08:00:00+08:00,528.53,528.53,528.53,528.53
2021-02-10T08:00:00+08:00,621.2534,621.2534,621.2534,621.2534
2021-02-15T08:00:00+08:00,667.9089,667.9089,667.9089,667.9089
